EmployeeNo,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10001,Garcia,Manuel III,11/10/1983,Valero Carpark Building Valero Street 1227 Makati City,966-860-270,44-4506057-3,8.20E+11,442-605-657-000,6.91E+11,Regular,Chief Executive Officer,N/A,90000,1500,2000,1000,45000,536
10002,Lim,Antonio,06/19/1988,San Antonio De Padua 2 Block 1 Lot 8 and 2 Dasmarinas Cavite,171-867-411,52-2061274-9,3.32E+11,683-102-776-000,6.64E+11,Regular,Chief Operating Officer,Manuel III Garcia,60000,1500,2000,1000,30000,357
10003,Aquino,Bianca Sofia,04/08/1989,Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100 Quezon City,966-889-370,30-8870406-2,1.77E+11,971-711-280-000,1.72E+11,Regular,Chief Finance Officer,Manuel III Garcia,60000,1500,2000,1000,30000,357
10004,Reyes,Isabella,06/16/1994,460 Solanda Street Intramuros 1000 Manila,786-868-477,40-2511815-0,3.42E+11,876-809-437-000,4.17E+11,Regular,Chief Marketing Officer,Manuel III Garcia,60000,1500,2000,1000,30000,357
10005,Hernandez,Eduard,09/23/1989,National Highway Gingoog  Misamis Occidental,088-861-012,50-5577638-1,9.57E+11,031-702-374-000,9.52E+11,Regular,IT Operations and Systems,Antonio Lim,52670,1500,1000,1000,26335,314
10006,Villanueva,Andrea Mae,02/14/1988,17/85 Stracke Via Suite 042 Poblacion Las Pi�as 4783 Dinagat Islands ,918-621-603,49-1632020-8,3.82E+11,317-674-022-000,4.41E+11,Regular,HR Manager,Antonio Lim,52670,1500,1000,1000,26335,314
10007,San Jose,Brad,03/15/1996,99 Strosin Hills Poblacion Bislig 5340 Tawi-Tawi,797-009-261,40-2400714-1,2.39E+11,672-474-690-000,2.11E+11,Regular,HR Team Leader,Andrea Mae Villanueva,42975,1500,800,800,21488,256
10008,Romualdez,Alice,05/14/1992,12A/33 Upton Isle Apt. 420 Roxas City 1814 Surigao del Norte ,983-606-799,55-4476527-2,5.46E+11,888-572-294-000,2.11E+11,Regular,HR Rank and File,Jose Brad San,22500,1500,500,500,11250,134
10009,Atienza,Rosie ,09/24/1948,90A Dibbert Terrace Apt. 190 San Lorenzo 6056 Davao del Norte,266-036-427,41-0644692-3,7.09E+11,604-997-793-000,2.60E+11,Regular,HR Rank and File,Jose Brad San,22500,1500,500,500,11250,134
10010,Alvaro,Roderick,03/30/1988,#284 T. Morato corner Scout Rallos Street Quezon City,053-381-386,64-7605054-4,5.78E+11,525-420-419-000,7.99E+11,Regular,Accounting Head,Bianca Sofia Aquino,52670,1500,1000,1000,26335,314
